Week,gmv,Discount%,deliverybdays,deliverycdays,sla,product_procurement_sla,is_cod,is_mass_market,product_vertical_gamecontrolmount,product_vertical_gamepad,product_vertical_gamingaccessorykit,product_vertical_gamingadapter,product_vertical_gamingchargingstation,product_vertical_gamingheadset,product_vertical_gamingkeyboard,product_vertical_gamingmemorycard,product_vertical_gamingmouse,product_vertical_gamingmousepad,product_vertical_gamingspeaker,product_vertical_joystickgamingwheel,product_vertical_motioncontroller,product_vertical_tvoutcableaccessory,payday_week,holiday_week,Total Investment,Total Investment_SMA_3,Total Investment_SMA_5,Total Investment_EMA_8,Total_Investment_Ad_Stock,TV,TV_SMA_3,TV_SMA_5,TV_EMA_8,TV_Ad_Stock,Digital,Digital_SMA_3,Digital_SMA_5,Digital_EMA_8,Digital_Ad_Stock,Sponsorship,Sponsorship_SMA_3,Sponsorship_SMA_5,Sponsorship_EMA_8,Sponsorship_Ad_Stock,Content Marketing,Content Marketing_SMA_3,Content Marketing_SMA_5,Content Marketing_EMA_8,Content_Marketing_Ad_Stock,Online marketing,Online marketing_SMA_3,Online marketing_SMA_5,Online marketing_EMA_8,Online_marketing_Ad_Stock,Affiliates,Affiliates_SMA_3,Affiliates_SMA_5,Affiliates_EMA_8,Affiliates_Ad_Stock,SEM,SEM_SMA_3,SEM_SMA_5,SEM_EMA_8,SEM_Ad_Stock,Radio,Radio_SMA_3,Radio_SMA_5,Radio_EMA_8,Radio_Ad_Stock,Other,Other_SMA_3,Other_SMA_5,Other_EMA_8,Other_Ad_Stock,NPS,NPS_SMA_3,NPS_SMA_5,Stock Index,Stock Index_SMA_3,Stock Index_SMA_5,Max Temp,Min Temp,Mean Temp,Heat Deg Days,Cool Deg Days,Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Sale
38,2596197.0011779056,39.0219859265053,0.0,0.0,5.826035965598123,2.830727130570758,0.7759968725566849,0.8987490226739641,0,1046.0,141.0,40,0,427.0,68.0,88.0,380.0,61,0,32,23,252,1,0,24.064,16.380333333333333,10.2334,10.679505010590702,39.603004731904,0.97,0.6469999999999999,0.3886,0.3929404811112093,1.5561193759743999,0.339,0.31133333333333335,0.2892,0.35370288182925713,0.7934427045888,15.697,10.535666666666666,6.4066,6.6126870928914645,25.4049281004544,0.153,0.102,0.0612,0.06044444444444444,0.2448,4.095,2.7386666666666666,1.6536000000000002,1.6861939820224632,6.5938038884351995,1.26,0.8450000000000001,0.5130000000000001,0.5278581025718544,2.0367954680832,1.551,1.2016666666666669,0.9221999999999999,1.0466780257200077,2.9756061244415997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.925418687263985,51.27931279950932,54.762428089305594,1101.0,1136.0,1164.0,27.5,13.0,20.55,0.0,2.55,1.1,0.0,1.1,0.0,0
39,2551590.0,40.32123452157599,0.0,0.0,5.947091932457786,2.699437148217636,0.7966228893058162,0.899437148217636,0,1034.0,196.0,36,0,650.0,73.0,47.0,362.0,53,1,32,15,166,0,0,24.064,24.064000000000004,14.843599999999999,13.653837230459436,47.8258028391424,0.97,0.9700000000000001,0.5824,0.5211759297531627,1.9036716255846398,0.339,0.339,0.3058,0.3504355747560889,0.81506562275328,15.697,15.696999999999997,9.5034,8.631423294471139,30.939956860272638,0.153,0.153,0.09179999999999999,0.08101234567901233,0.29988,4.095,4.095,2.4674,2.2214842082396933,8.051282333061119,1.26,1.26,0.762,0.6905563020003311,2.4820772808499196,1.551,1.5510000000000002,1.1317999999999997,1.158749575560006,3.33636367466496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.925418687263985,46.92541868726399,52.150091621958396,1101.0,1101.0,1143.0,25.5,14.5,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0
40,2448872.0,38.95797408716147,0.0015704750687082843,0.0019630938358853552,5.877502944640754,2.799371809972517,0.82842559874362,0.8975265017667845,0,974.0,167.0,55,0,537.0,58.0,29.0,483.0,35,0,49,15,145,1,0,24.064,24.064000000000004,19.4538,15.967206734801783,52.759481703485434,0.97,0.9699999999999999,0.7762,0.6209146120302377,2.112202975350784,0.339,0.339,0.3224,0.3478943359214025,0.828039373651968,15.697,15.696999999999997,12.6002,10.20155145125533,34.26097411616358,0.153,0.153,0.1224,0.09700960219478735,0.332928,4.095,4.095,3.2811999999999997,2.637821050853095,8.925769399836671,1.26,1.26,1.011,0.8170993460002576,2.7492463685099517,1.551,1.551,1.3413999999999997,1.2459163365466712,3.5528182047989754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.925418687263985,46.92541868726399,49.53775515461119,1101.0,1101.0,1122.0,26.5,8.0,17.725,1.925,1.65,2.45,0.0,2.45,0.0,0
41,2084921.0,37.1328307692306,0.0008791208791208791,0.0008791208791208791,5.530989010989011,2.5863736263736263,0.8263736263736263,0.9243956043956044,0,859.0,179.0,60,0,343.0,67.0,32.0,534.0,34,0,31,9,127,0,0,42.539,30.222333333333335,27.759000000000004,21.87204968262361,74.19468902209127,1.536,1.1586666666666667,1.0832000000000002,0.8242669204679627,2.8033217852104704,3.156,1.278,0.9024000000000001,0.9719178168277576,3.652823624191181,21.168,17.520666666666667,16.791199999999996,12.638540017643034,41.724584469698144,0.861,0.389,0.2946,0.2667852461515013,1.0607568,6.093,4.761,4.4946,3.4056385951079626,11.448461639902003,1.743,1.421,1.3566,1.0228550468890893,3.392547821105971,7.982,3.6946666666666665,2.8372,2.7428238173140773,10.113690922879385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3983889339963,46.08307543617476,46.420012736610445,1210.0,1137.3333333333333,1122.8,23.0,10.0,16.619999999999997,1.3800000000000001,0.0,0.0,0.0,0.0,0.0,0
42,7306440.620678344,52.66933351394739,0.0034317709744423374,0.006953851711369999,5.23101237243746,3.5122369728167615,0.7922875462837533,0.9673078659803125,0,2054.0,291.0,108,0,3316.0,474.0,92.0,4155.0,239,5,84,25,228,1,0,42.539,36.38066666666667,31.454,26.464705308707252,87.05581341325475,1.536,1.3473333333333333,1.1964000000000001,0.9824298270306377,3.2179930711262825,3.156,2.217,1.4658,1.457269413088256,5.347694174514709,21.168,19.34433333333333,17.885399999999997,14.533975569277917,46.202750681818884,0.861,0.625,0.43620000000000003,0.39883296922894546,1.49745408,6.093,5.427,4.8942,4.0028300184173045,12.962076983941202,1.743,1.582,1.4532,1.182887258691514,3.778528692663583,7.982,5.838333333333334,4.1234,3.907085191244282,14.050214553727631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3983889339963,45.24073218508553,45.914606785956906,1210.0,1173.6666666666667,1144.6,24.5,4.5,14.3,4.1,0.4,0.0,0.0,0.0,0.0,0
43,2318677.5666765813,39.55391688120631,0.003677822728944465,0.004045605001838912,6.11658698050754,2.5546156675248253,0.8242000735564545,0.9304891504229497,0,866.0,166.0,79,0,733.0,70.0,55.0,546.0,36,3,16,14,135,0,0,42.539,42.539,35.149,30.036770795661198,94.77248804795286,1.536,1.5360000000000003,1.3096,1.1054454210238294,3.4667958426757695,3.156,3.156,2.0292000000000003,1.8347650990686435,6.364616504708826,21.168,21.168,18.979599999999998,16.00820322054949,48.88965040909133,0.861,0.8610000000000001,0.5778,0.5015367538447354,1.759472448,6.093,6.093,5.293799999999999,4.4673122365467925,13.870246190364721,1.743,1.743,1.5498,1.3073567567600666,4.01011721559815,7.982,7.981999999999999,5.4096,4.81262181541222,16.412128732236578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3983889339963,44.3983889339963,45.40920083530337,1210.0,1210.0,1166.4,22.0,9.0,15.679999999999998,2.3199999999999994,0.0,0.8400000000000001,0.0,0.8400000000000001,0.0,0
44,2806071.961978789,44.12804318848272,0.004265529192215409,0.005865102639296188,5.813916288989603,2.2098107171420955,0.8368435083977606,0.9522793921620901,0,1087.0,216.0,66,0,1299.0,93.0,34.0,718.0,52,1,17,12,156,1,0,42.539,42.539,38.844,32.81504395218093,99.40249282877173,1.536,1.5360000000000003,1.4228,1.2011242163518674,3.6160775056054617,3.156,3.156,2.5926,2.1283728548311673,6.974769902825296,21.168,21.168,20.0738,17.15482472709405,50.5017902454548,0.861,0.8610000000000001,0.7194,0.5814174752125719,1.9166834687999998,6.093,6.093,5.6934,4.8285761839808385,14.415147714218833,1.743,1.743,1.6464000000000003,1.4041663663689408,4.14907032935889,7.982,7.982,6.6958,5.516928078653948,17.82927723934195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3983889339963,44.3983889339963,44.90379488464984,1210.0,1210.0,1188.2,16.0,2.0,10.9,7.1,0.0,0.9,0.0,0.9,0.0,0
45,3484035.7092801854,45.50288780703875,0.0,0.0,5.143173268422217,2.4233237441911926,0.8181013498561629,0.9446780261119717,0,1246.0,223.0,54,0,1057.0,92.0,43.0,1598.0,41,3,23,9,129,0,0,10.243,31.773666666666667,36.0798,27.799034185029612,69.88449569726303,0.844,1.3053333333333332,1.3976000000000002,1.1217632793847858,3.013646503363277,0.255,2.189,2.5758,1.7120677759797969,4.4398619416951774,2.834,15.056666666666667,17.5012,13.97241923218426,33.13507414727288,0.034,0.5853333333333334,0.6956,0.4597691473875559,1.1840100812799998,3.912,5.366,5.6568,4.624892587540653,12.561088628531298,1.319,1.6016666666666666,1.6582000000000001,1.385240507175843,3.808442197615334,1.044,5.669333333333334,6.5944,4.522944061175293,11.74156634360517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.99999999999999,45.2655926226642,44.918711147197044,1233.0,1217.6666666666667,1214.6,23.0,5.0,13.919999999999998,4.08,0.0,1.72,0.0,1.72,0.0,2
46,2669396.5,41.86285794340249,0.0050434295320818156,0.005884001120762118,6.0431493415522555,2.392546931913701,0.8215186326702157,0.9537685626225834,0,1068.0,228.0,69,0,1146.0,61.0,54.0,725.0,51,0,16,11,140,1,0,10.243,21.008333333333336,29.620600000000003,23.897693255023032,52.17369741835782,0.844,1.0746666666666667,1.2591999999999999,1.0600381061881667,2.652187902017966,0.255,1.2220000000000002,1.9956,1.3882749368731753,2.918917165017106,2.834,8.945333333333332,13.834399999999999,11.497214958365534,22.715044488363727,0.034,0.3096666666666667,0.5302,0.3651537813014324,0.7444060487679999,3.912,4.639,5.2206,4.466472012531619,11.448653177118779,1.319,1.4603333333333335,1.5734,1.3705203944701,3.6040653185692,1.044,3.356666666666667,5.2068,3.749845380914117,8.088939806163102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.99999999999999,46.13279631133209,45.43903336039777,1233.0,1225.3333333333333,1219.2,17.0,-1.5,8.833333333333334,9.166666666666666,0.0,5.133333333333333,0.0,5.133333333333333,0.0,6
47,2140151.0,41.54801608579085,0.0,0.0,5.70739180390655,2.495212562236691,0.8410570662581387,0.9452317119877441,0,763.0,193.0,67,2,834.0,63.0,89.0,404.0,44,1,15,12,123,1,0,10.243,10.243,23.1614,20.863316976129028,41.54721845101469,0.844,0.844,1.1208,1.0120296381463518,2.4353127412107796,0.255,0.255,1.4154,1.1364360620124696,2.0063502990102635,2.834,2.834,10.1676,9.572056078728748,16.463026693018236,0.034,0.034,0.36479999999999996,0.2915640521233363,0.48064362926079995,3.912,3.9120000000000004,4.7844,4.343256009746814,10.781191906271268,1.319,1.319,1.4886,1.359071417921189,3.48143919114152,1.044,1.044,3.8192,3.148546407377647,5.897363883697862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.99999999999999,46.99999999999999,45.959355573598515,1233.0,1233.0,1223.8,16.0,-4.0,6.075,11.925,0.0,3.3,2.5,5.8,1.75,0
